API_ID,CalStatus
AF2015DHS,Calendar
AL2017DHS,Calendar
AL2008DHS,Calendar
AO2015DHS,Calendar
AM2016DHS,Calendar
AM2010DHS,Calendar
AM2005DHS,Calendar
AM2000DHS,Calendar
AZ2006DHS,Calendar
BD2017DHS,Calendar
BD2014DHS,Calendar
BD2011DHS,Calendar
BD2004DHS,Calendar
BD2000DHS,Calendar
BJ2017DHS,Calendar
BJ2006DHS,Calendar
BO2008DHS,Calendar
BO2003DHS,Calendar
BF2010DHS,Calendar
BU2016DHS,Calendar
BU2010DHS,Calendar
KH2021DHS,Calendar
KH2014DHS,Calendar
KH2010DHS,Calendar
CO2015DHS,Calendar
CO2010DHS,Calendar
CO2005DHS,Calendar
CO2000DHS,Calendar
KM2012DHS,Calendar
DR2002DHS,Calendar
EG2014DHS,Calendar
EG2008DHS,Calendar
EG2005DHS,Calendar
EG2003DHS,Calendar
EG2000DHS,Calendar
ET2016DHS,Calendar
ET2011DHS,Calendar
ET2005DHS,Calendar
GA2019DHS,Calendar
GM2019DHS,Calendar
GM2013DHS,Calendar
GH2014DHS,Calendar
GH2008DHS,Calendar
GH2003DHS,Calendar
GU2015DHS,Calendar
GN2018DHS,Calendar
GN2005DHS,Calendar
GY2009DHS,Calendar
HN2005DHS,Calendar
IA2020DHS,Calendar
IA2015DHS,Calendar
IA2006DHS,Calendar
ID2017DHS,Calendar
ID2012DHS,Calendar
ID2007DHS,Calendar
ID2003DHS,Calendar
JO2017DHS,Calendar
JO2012DHS,Calendar
JO2007DHS,Calendar
JO2002DHS,Calendar
KE2022DHS,Calendar
KE2014DHS,Calendar
KE2008DHS,Calendar
KE2003DHS,Calendar
KY2012DHS,Calendar
LS2014DHS,Calendar
LS2009DHS,Calendar
LB2019DHS,Calendar
LB2013DHS,Calendar
MD2021DHS,Calendar
MD2008DHS,Calendar
MW2015DHS,Calendar
MW2010DHS,Calendar
MW2004DHS,Calendar
MV2016DHS,Calendar
ML2018DHS,Calendar
ML2012DHS,Calendar
ML2006DHS,Calendar
ML2001DHS,Calendar
MR2020DHS,Calendar
MB2005DHS,Calendar
MA2003DHS,Calendar
MZ2011DHS,Calendar
MM2016DHS,Calendar
NM2013DHS,Calendar
NM2006DHS,Calendar
NP2022DHS,Calendar
NP2016DHS,Calendar
NP2011DHS,Calendar
NC2001DHS,Calendar
NI2012DHS,Calendar
NI2006DHS,Calendar
NG2018DHS,Calendar
NG2013DHS,Calendar
NG2008DHS,Calendar
PK2017DHS,Calendar
PK2012DHS,Calendar
PG2017DHS,Calendar
PE2012DHS,Calendar
PE2004DHS,Calendar
PE2000DHS,Calendar
PH2022DHS,Calendar
PH2003DHS,Calendar
RW2019DHS,Calendar
RW2015DHS,Calendar
RW2010DHS,Calendar
RW2005DHS,Calendar
RW2000DHS,Calendar
SN2019DHS,Calendar
SN2018DHS,Calendar
SN2017DHS,Calendar
SN2016DHS,Calendar
SN2015DHS,Calendar
SN2014DHS,Calendar
SN2012DHS,Calendar
SN2010DHS,Calendar
SL2019DHS,Calendar
SL2013DHS,Calendar
SL2008DHS,Calendar
ZA2016DHS,Calendar
SZ2006DHS,Calendar
TJ2017DHS,Calendar
TJ2012DHS,Calendar
TZ2015DHS,Calendar
TZ2010DHS,Calendar
TZ2004DHS,Calendar
TL2016DHS,Calendar
TL2009DHS,Calendar
TR2013DHS,Calendar
UG2016DHS,Calendar
UG2011DHS,Calendar
UG2000DHS,Calendar
UA2007DHS,Calendar
VN2002DHS,Calendar
YE2013DHS,Calendar
ZM2018DHS,Calendar
ZM2013DHS,Calendar
ZM2007DHS,Calendar
ZW2015DHS,Calendar
ZW2010DHS,Calendar
